time,temperature,illumination,blind_status
1919,26.86,46,0
1919,26.86,60,0
1919,26.86,45,0
1919,26.86,60,0
1919,26.86,58,0
1919,26.86,58,0
1919,26.86,52,0
1919,26.86,46,0
1919,26.86,57,0
1919,26.86,62,0
1919,26.86,60,0
1919,26.86,54,0
1919,26.37,45,0
1919,26.37,54,0
1919,26.37,60,0
1919,26.37,49,0
1919,26.37,59,0
1919,26.37,49,0
1919,26.37,45,0
1919,26.37,53,0
1919,26.37,44,0
1919,26.37,55,0
1919,25.88,108,0
1932,26.37,15,0
1932,27.83,9,1
1932,23.93,26,1
1939,26.37,71,0
1939,26.37,71,0
1939,26.37,31,0
1943,25.39,21,1
1943,21.97,1,1
1943,28.81,4,1
1946,41.99,440,0
1951,25.88,0,0
1951,26.37,1023,0
